Interview #,Date,Name,Role,Company,Experience (Years),Species/Focus,Location,Contact Email,Contact Phone,Pain Point Severity (1-10),Current Solution,Economic Impact ($),Willingness to Pay ($),Decision Timeline,Validation Score (1-10),Pilot Prospect (Y/N),Notes,Follow-up Date,Status
1,,,Commercial Fisherman,,,,,,,,,,,,,,,Scheduled
2,,,Commercial Fisherman,,,,,,,,,,,,,,,Scheduled
3,,,Commercial Fisherman,,,,,,,,,,,,,,,Scheduled
4,,,Commercial Fisherman,,,,,,,,,,,,,,,Scheduled
5,,,Commercial Fisherman,,,,,,,,,,,,,,,Scheduled
6,,,Commercial Fisherman,,,,,,,,,,,,,,,Scheduled
7,,,Commercial Fisherman,,,,,,,,,,,,,,,Scheduled
8,,,Commercial Fisherman,,,,,,,,,,,,,,,Scheduled
9,,,Commercial Fisherman,,,,,,,,,,,,,,,Scheduled
10,,,Commercial Fisherman,,,,,,,,,,,,,,,Scheduled
11,,,Fleet Operator,,,,,,,,,,,,,,,Scheduled
12,,,Fleet Operator,,,,,,,,,,,,,,,Scheduled
13,,,Fleet Operator,,,,,,,,,,,,,,,Scheduled
14,,,Fleet Operator,,,,,,,,,,,,,,,Scheduled
15,,,Fleet Operator,,,,,,,,,,,,,,,Scheduled
16,,,Government/Research,,,,,,,,,,,,,,,Scheduled
17,,,Government/Research,,,,,,,,,,,,,,,Scheduled
18,,,Government/Research,,,,,,,,,,,,,,,Scheduled
19,,,Government/Research,,,,,,,,,,,,,,,Scheduled
20,,,Government/Research,,,,,,,,,,,,,,,Scheduled
